fallacy_name,description
False attribution,"appealing to an irrelevant, unqualified, unidentified, biased or fabricated source in support of an argument.
Fallacy of quoting out of context (contextotomy, contextomy; quotation mining) – selective excerpting of words from their original context to distort the intended meaning.[30]"
False authority (single authority),using an expert of dubious credentials or using only one opinion to promote a product or idea. Related to the appeal to authority.
"False dilemma (false dichotomy, fallacy of bifurcation, black-or-white fallacy)","two alternative statements are given as the only possible options when, in reality, there are more.[31]"
False equivalence,describing two or more statements as virtually equal when they are not.
Feedback fallacy,believing in the objectivity of an evaluation to be used as the basis for improvement without verifying that the source of the evaluation is a disinterested party.[32]
Historian's fallacy,"assuming that decision-makers of the past had identical information as those subsequently analyzing the decision.[33] This is not to be confused with presentism, in which present-day ideas and perspectives are anachronistically projected into the past."
Historical fallacy,"believing that certain results occurred only because a specific process was performed, though said process may actually be unrelated to the results.[34]
Baconian fallacy – supposing that historians can obtain the ""whole truth"" via induction from individual pieces of historical evidence. The ""whole truth"" is defined as learning ""something about everything"", ""everything about something"", or ""everything about everything"". In reality, a historian ""can only hope to know something about something"".[35]"
"Homunculus fallacy – using a ""middle-man"" for explanation; this sometimes leads to regressive middle-men. It explains a concept in terms of the concept itself without explaining its real nature (e.g.",explaining thought as something produced by a little thinker – a homunculus – inside the head simply identifies an intermediary actor and does not explain the product or process of thinking).[36]
Inflation of conflict,"arguing that, if experts in a field of knowledge disagree on a certain point within that field, no conclusion can be reached or that the legitimacy of that field of knowledge is questionable.[37][38]"
If-by-whiskey,an argument that supports both sides of an issue by using terms that are emotionally sensitive and ambiguous.
Incomplete comparison,insufficient information is provided to make a complete comparison.
Intentionality fallacy,the insistence that the ultimate meaning of an expression must be consistent with the intention of the person from whom the communication originated (e.g. a work of fiction that is widely received as a blatant allegory must necessarily not be regarded as such if the author intended it not to be so).[39]
Kettle logic,"using multiple, jointly inconsistent arguments to defend a position."
Ludic fallacy,failing to take into account that non-regulated random occurrences unknown unknowns can affect the probability of an event taking place.[40]
Lump of labour fallacy,"the misconception that there is a fixed amount of work to be done within an economy, which can be distributed to create more or fewer jobs.[41]"
Magic fallacy,"Profit derived by any means besides the production of physical goods (i.e. an artisan cabinet, a loaf of bread) must be made by either exploitation (modern) or magic (classical)."
McNamara fallacy (quantitative fallacy),"making an argument using only quantitative observations (measurements, statistical or numerical values) and discounting subjective information that focuses on quality (traits, features, or relationships)."
Mind projection fallacy,"assuming that a statement about an object describes an inherent property of the object, rather than a personal perception."
Moralistic fallacy – inferring factual conclusions from evaluative premises in violation of fact–value distinction (e.g.,inferring is from ought). Moralistic fallacy is the inverse of naturalistic fallacy.
Moving the goalposts (raising the bar),argument in which evidence presented in response to a specific claim is dismissed and some other (often greater) evidence is demanded.
Nirvana fallacy (perfect-solution fallacy),solutions to problems are rejected because they are not perfect.
Package deal,treating essentially dissimilar concepts as though they were essentially similar.
Proof by assertion,"a proposition is repeatedly restated regardless of contradiction; sometimes confused with argument from repetition (argumentum ad infinitum, argumentum ad nauseam)."
Prosecutor's fallacy,a low probability of false matches does not mean a low probability of some false match being found.[42][43]
Proving too much – an argument that results in an overly generalized conclusion (e.g.,arguing that drinking alcohol is bad because in some instances it has led to spousal or child abuse).
Psychologist's fallacy,an observer presupposes the objectivity of their own perspective when analyzing a behavioral event.
"Referential fallacy[44] – assuming that all words refer to existing things and that the meaning of words reside within the things they refer to, as opposed to words possibly referring to no real object (e.g.","Pegasus) or that the meaning comes from how they are used (e.g.: ""nobody"" was in the room)."
"Reification (concretism, hypostatization, or the fallacy of misplaced concreteness) – treating an abstract belief or hypothetical construct as if it were a concrete, real event or physical entity (e.g.",saying that evolution selects which traits are passed on to future generations; evolution is not a conscious entity with agency).
"Retrospective determinism – believing that, because an event has occurred under some circumstance, the circumstance must have made the event inevitable (e.g.","because someone won the lottery while wearing their lucky socks, wearing those socks made winning the lottery inevitable)."
"Slippery slope (thin edge of the wedge, camel's nose)","asserting that a proposed, relatively small, first action will inevitably lead to a chain of related events resulting in a significant and negative event and, therefore, should not be permitted.[45]"
Special pleading – the arguer attempts to cite something as an exemption to a generally accepted rule or principle without justifying the exemption (e.g.,an orphaned defendant who murdered their parents asking for leniency).
Suppressed correlative,"a correlative is redefined so that one alternative is made impossible (e.g., ""I am not fat because I am thinner than John."").[18]"
Ambiguous middle term,using a middle term with multiple meanings.[21]
Definitional retreat,"changing the meaning of a word when an objection is raised.[22] Often paired with moving the goalposts (see below), as when an argument is challenged using a common definition of a term in the argument, and the arguer presents a different definition of the term and thereby demands different evidence to debunk the argument."
Motte-and-bailey fallacy,"conflating two positions with similar properties, one modest and easy to defend (the ""motte"") and one more controversial (the ""bailey"").[23] The arguer first states the controversial position, but when challenged, states that they are advancing the modest position.[24][25]"
Fallacy of accent,changing the meaning of a statement by not specifying on which word emphasis falls.
Persuasive definition,"purporting to use the ""true"" or ""commonly accepted"" meaning of a term while, in reality, using an uncommon or altered definition."
(cf. the if-by-whiskey fallacy),
"Fallacy of quoting out of context (contextotomy, contextomy; quotation mining)",selective excerpting of words from their original context to distort the intended meaning.[30]
Baconian fallacy,"supposing that historians can obtain the ""whole truth"" via induction from individual pieces of historical evidence. The ""whole truth"" is defined as learning ""something about everything"", ""everything about something"", or ""everything about everything"". In reality, a historian ""can only hope to know something about something"".[35]"
Begging the question (petitio principii) – using the conclusion of the argument in support of itself in a premise (e.g.,"saying that smoking cigarettes is deadly because cigarettes can kill you; something that kills is deadly).[46][47]
Loaded label – while not inherently fallacious, the use of evocative terms to support a conclusion is a type of begging the question fallacy. When fallaciously used, the term's connotations are relied on to sway the argument towards a particular conclusion. For example, in an organic foods advertisement that says ""Organic foods are safe and healthy foods grown without any pesticides, herbicides, or other unhealthy additives"", the terms ""safe"" and ""healthy"" are used to fallaciously imply that non-organic foods are neither safe nor healthy.[48]"
Circular reasoning (circulus in demonstrando) – the reasoner begins with what they are trying to end up with (e.g.,all bachelors are unmarried males).
"Fallacy of many questions (complex question, fallacy of presuppositions, loaded question, plurium interrogationum)","someone asks a question that presupposes something that has not been proven or accepted by all the people involved. This fallacy is often used rhetorically so that the question limits direct replies to those that serve the questioner's agenda. (E.g., ""Have you or have you not stopped beating your wife?"".)"
Loaded label,"while not inherently fallacious, the use of evocative terms to support a conclusion is a type of begging the question fallacy. When fallaciously used, the term's connotations are relied on to sway the argument towards a particular conclusion. For example, in an organic foods advertisement that says ""Organic foods are safe and healthy foods grown without any pesticides, herbicides, or other unhealthy additives"", the terms ""safe"" and ""healthy"" are used to fallaciously imply that non-organic foods are neither safe nor healthy.[48]"
Accident,"an exception to a generalization is ignored.[49]
No true Scotsman (aka appeal to purity) – makes a generalization true by changing the generalization to exclude a counterexample.[50]"
"Cherry picking (suppressed evidence, incomplete evidence, argument by half-truth, fallacy of exclusion, card stacking, slanting)","using individual cases or data that confirm a particular position, while ignoring related cases or data that may contradict that position.[51][52]
Nut-picking (suppressed evidence, incomplete evidence) – using individual cases or data that falsify a particular position, while ignoring related cases or data that may support that position.
Survivorship bias – a small number of successes of a given process are actively promoted while completely ignoring a large number of failures."
False analogy,an argument by analogy in which the analogy is poorly suited.[53]
"Hasty generalization (fallacy of insufficient statistics, fallacy of insufficient sample, fallacy of the lonely fact, hasty induction, secundum quid, converse accident, jumping to conclusions)",basing a broad conclusion on a small or unrepresentative sample.[54]
Argument from anecdote,a fallacy where anecdotal evidence is presented as an argument; without any other contributory evidence or reasoning.
Inductive fallacy,"a more general name for a class of fallacies, including hasty generalization and its relatives. A fallacy of induction happens when a conclusion is drawn from premises that only lightly support it."
Misleading vividness,"involves describing an occurrence in vivid detail, even if it is an exceptional occurrence, to convince someone that it is more important; this also relies on the appeal to emotion fallacy."
Overwhelming exception,an accurate generalization that comes with qualifications that eliminate so many cases that what remains is much less impressive than the initial statement might have led one to assume.[55]
Thought-terminating cliché,"a commonly used phrase, sometimes passing as folk wisdom, used to quell cognitive dissonance, conceal lack of forethought, move on to other topics, etc. – but in any case, to end the debate with a cliché rather than a point."
No true Scotsman (aka appeal to purity),makes a generalization true by changing the generalization to exclude a counterexample.[50]
"Nut-picking (suppressed evidence, incomplete evidence)","using individual cases or data that falsify a particular position, while ignoring related cases or data that may support that position."
Survivorship bias,a small number of successes of a given process are actively promoted while completely ignoring a large number of failures.
"Cum hoc ergo propter hoc (Latin for 'with this, therefore because of this'; correlation implies causation; faulty cause/effect, coincidental correlation, correlation without causation)","a faulty assumption that, because there is a correlation between two variables, one caused the other.[56]
Post hoc ergo propter hoc (Latin for 'after this, therefore because of this'; temporal sequence implies causation) – X happened, then Y happened; therefore X caused Y.[57]
Wrong direction (reverse causation) – cause and effect are reversed. The cause is said to be the effect and vice versa.[58] The consequence of the phenomenon is claimed to be its root cause.
Ignoring a common cause"
Fallacy of the single cause (causal oversimplification[59]),"it is assumed that there is one, simple cause of an outcome when in reality it may have been caused by a number of only jointly sufficient causes."
Furtive fallacy,outcomes are asserted to have been caused by the malfeasance of decision makers.
Magical thinking,"fallacious attribution of causal relationships between actions and events. In anthropology, it refers primarily to cultural beliefs that ritual, prayer, sacrifice, and taboos will produce specific supernatural consequences. In psychology, it refers to an irrational belief that thoughts by themselves can affect the world or that thinking something corresponds with doing it."
"Post hoc ergo propter hoc (Latin for 'after this, therefore because of this'; temporal sequence implies causation)","X happened, then Y happened; therefore X caused Y.[57]"
Wrong direction (reverse causation),cause and effect are reversed. The cause is said to be the effect and vice versa.[58] The consequence of the phenomenon is claimed to be its root cause.
Ignoring a common cause,
The observational interpretation fallacy occurs when associations identified in observational studies are misinterpreted as causal relationships.,
Regression fallacy,ascribes cause where none exists. The flaw is failing to account for natural fluctuations. It is frequently a special kind of post hoc fallacy.
Gambler's fallacy,"the incorrect belief that separate, independent events can affect the likelihood of another random event. If a fair coin lands on heads 10 times in a row, the belief that it is ""due to the number of times it had previously landed on tails"" is incorrect.[60]
Inverse gambler's fallacy – the inverse of the gambler's fallacy. It is the incorrect belief that on the basis of an unlikely outcome, the process must have happened many times before."
p-hacking,"belief in the significance of a result, not realizing that multiple comparisons or experiments have been run and only the most significant were published."
Garden of forking paths fallacy,incorrect belief that a single experiment can not be subject to the multiple comparisons effect.
Sunk costs fallacy - refusal to leave a situation because you have already put large amounts of time or effort into it- for example trying to jump over a wall you physically cannot jump over because you have already spent an hour trying to jump.,
Inverse gambler's fallacy,"the inverse of the gambler's fallacy. It is the incorrect belief that on the basis of an unlikely outcome, the process must have happened many times before."
Appeal to the stone (argumentum ad lapidem),dismissing a claim as absurd without demonstrating proof for its absurdity.[61]
Invincible ignorance (argument by pigheadedness),"where a person simply refuses to believe the argument, ignoring any evidence given.[62]"
"Argument from ignorance (appeal to ignorance, argumentum ad ignorantiam)","assuming that a claim is true because it has not been or cannot be proven false, or vice versa.[63]"
Argument from incredulity (appeal to common sense),"""I cannot imagine how this could be true; therefore, it must be false.""[64]"
Argument from repetition (argumentum ad nauseam or argumentum ad infinitum),repeating an argument until nobody cares to discuss it any more and referencing that lack of objection as evidence of support for the truth of the conclusion;[65][66] sometimes confused with proof by assertion.
Argument from silence (argumentum ex silentio),"assuming that a claim is true based on the absence of textual or spoken evidence from an authoritative source, or vice versa.[67]"
"Ignoratio elenchi (irrelevant conclusion, missing the point)","an argument that may in itself be valid, but does not address the issue in question.[68]"
Ad hominem,"attacking the arguer instead of the argument. (Note that ""ad hominem"" can also refer to the dialectical strategy of arguing on the basis of the opponent's own commitments. This type of ad hominem is not a fallacy.)
Circumstantial ad hominem – stating that the arguer's personal situation or perceived benefit from advancing a conclusion means that their conclusion is wrong.[72]
Poisoning the well – a subtype of ad hominem presenting adverse information about a target person with the intention of discrediting everything that the target person says.[73]
Appeal to motive – dismissing an idea by questioning the motives of its proposer.
Tone policing – focusing on emotion behind (or resulting from) a message rather than the message itself as a discrediting tactic.
Traitorous critic fallacy (ergo decedo, 'therefore I leave') – a critic's perceived affiliation is portrayed as the underlying reason for the criticism and the critic is asked to stay away from the issue altogether. Easily confused with the association fallacy (guilt by association) below.
Bulverism (psychogenetic fallacy) – inferring why an argument is being used, associating it to some psychological reason, then assuming it is invalid as a result. The assumption that if the origin of an idea comes from a biased mind, then the idea itself must also be a falsehood.[37]"
"Appeal to authority (argument from authority, argumentum ad verecundiam)","an assertion is deemed true because of the position or authority of the person asserting it.[74][75]
Appeal to accomplishment – an assertion is deemed true or false based on the accomplishments of the proposer. This may often also have elements of appeal to emotion see below.
Courtier's reply – a criticism is dismissed by claiming that the critic lacks sufficient knowledge, credentials, or training to credibly comment on the subject matter."
Appeal to consequences (argumentum ad consequentiam),the conclusion is supported by a premise that asserts positive or negative consequences from some course of action in an attempt to distract from the initial discussion.[76]
Appeal to emotion,"manipulating the emotions of the listener rather than using valid reasoning to obtain common agreement.[77]
Appeal to fear – generating distress, anxiety, cynicism, or prejudice towards the opponent in an argument.[78]
Appeal to flattery – using excessive or insincere praise to obtain common agreement.[79]
Appeal to pity (argumentum ad misericordiam) – generating feelings of sympathy or mercy in the listener to obtain common agreement.[80]
Appeal to ridicule – mocking or stating that the opponent's position is laughable to deflect from the merits of the opponent's argument.[81]
Appeal to spite – generating bitterness or hostility in the listener toward an opponent in an argument.[82]
Judgmental language – using insulting or pejorative language in an argument.
Pooh-pooh – stating that an opponent's argument is unworthy of consideration.[83]
Style over substance – embellishing an argument with compelling language, exploiting a bias towards the esthetic qualities of an argument, e.g. the rhyme-as-reason effect[84]
Wishful thinking – arguing for a course of action by the listener according to what might be pleasing to imagine rather than according to evidence or reason.[85]"
Appeal to nature,"judgment is based solely on whether the subject of judgment is 'natural' or 'unnatural'.[86] (Sometimes also called the ""naturalistic fallacy"", but is not to be confused with the other fallacies by that name.)"
"Appeal to novelty (argumentum novitatis, argumentum ad antiquitatis)",a proposal is claimed to be superior or better solely because it is new or modern.[87] (opposite of appeal to tradition)
Appeal to poverty (argumentum ad Lazarum),supporting a conclusion because the arguer is poor (or refuting because the arguer is wealthy). (Opposite of appeal to wealth.)[88]
Appeal to tradition (argumentum ad antiquitatem),a conclusion supported solely because it has long been held to be true.[89]
Appeal to wealth (argumentum ad crumenam),supporting a conclusion because the arguer is wealthy (or refuting because the arguer is poor).[90] (Sometimes taken together with the appeal to poverty as a general appeal to the arguer's financial situation.)
"Argumentum ad baculum (appeal to the stick, appeal to force, appeal to threat)",an argument made through coercion or threats of force to support position.[91]
"Argumentum ad populum (appeal to widespread belief, bandwagon argument, appeal to the majority, appeal to the people)",a proposition is claimed to be true or good solely because a majority or many people believe it to be so.[92]
Association fallacy (guilt by association and honor by association),"arguing that because two things share (or are implied to share) some property, they are the same.[93]"
"Logic chopping fallacy (nit-picking, trivial objections)","Focusing on trivial details of an argument, rather than the main point of the argumentation.[94][95]"
Ipse dixit (bare assertion fallacy),"a claim that is presented as true without support, as self-evidently true, or as dogmatically true. This fallacy relies on the implied expertise of the speaker or on an unstated truism.[96][97][98]"
Chronological snobbery,"a thesis is deemed incorrect because it was commonly held when something else, known to be false, was also commonly held.[99][100]"
"Fallacy of relative privation (also known as ""appeal to worse problems"" or ""not as bad as"")",dismissing an argument or complaint due to what are perceived to be more important problems. First World problems are a subset of this fallacy.[101][102]
Genetic fallacy,a conclusion is suggested based solely on something or someone's origin rather than its current meaning or context.[103]
I'm entitled to my opinion,a person discredits any opposition by claiming that they are entitled to their opinion.
Moralistic fallacy,"inferring factual conclusions from evaluative premises, in violation of fact–value distinction; e.g. making statements about what is, on the basis of claims about what ought to be. This is the inverse of the naturalistic fallacy."
Naturalistic fallacy,"inferring evaluative conclusions from purely factual premises[104][105] in violation of fact–value distinction. Naturalistic fallacy (sometimes confused with appeal to nature) is the inverse of moralistic fallacy.
Is–ought fallacy[106] – deduce a conclusion about what ought to be, on the basis of what is."
Naturalistic fallacy fallacy[107] (anti-naturalistic fallacy)[108],"inferring an impossibility to infer any instance of ought from is from the general invalidity of is-ought fallacy, mentioned above. For instance, is 



P
∨
¬
P


{\displaystyle P\lor \neg P}

 does imply ought 



P
∨
¬
P


{\displaystyle P\lor \neg P}

 for any proposition 



P


{\displaystyle P}

, although the naturalistic fallacy fallacy would falsely declare such an inference invalid. Naturalistic fallacy fallacy is a type of argument from fallacy."
Straw man fallacy,"refuting an argument different from the one actually under discussion, while not recognizing or acknowledging the distinction.[109]"
Texas sharpshooter fallacy,improperly asserting a cause to explain a cluster of data.[110]
Tu quoque ('you too',"appeal to hypocrisy, whataboutism) – stating that a position is false, wrong, or should be disregarded because its proponent fails to act consistently in accordance with it.[111]"
Two wrongs make a right,"assuming that, if one wrong is committed, another wrong will rectify it.[112]"
Vacuous truth,"a claim that is technically true but meaningless, in the form no A in B has C, when there is no A in B. For example, claiming that no mobile phones in the room are on when there are no mobile phones in the room."
Circumstantial ad hominem,stating that the arguer's personal situation or perceived benefit from advancing a conclusion means that their conclusion is wrong.[72]
Poisoning the well,a subtype of ad hominem presenting adverse information about a target person with the intention of discrediting everything that the target person says.[73]
Appeal to motive,dismissing an idea by questioning the motives of its proposer.
Tone policing,focusing on emotion behind (or resulting from) a message rather than the message itself as a discrediting tactic.
"Traitorous critic fallacy (ergo decedo, 'therefore I leave')",a critic's perceived affiliation is portrayed as the underlying reason for the criticism and the critic is asked to stay away from the issue altogether. Easily confused with the association fallacy (guilt by association) below.
Bulverism (psychogenetic fallacy),"inferring why an argument is being used, associating it to some psychological reason, then assuming it is invalid as a result. The assumption that if the origin of an idea comes from a biased mind, then the idea itself must also be a falsehood.[37]"
Appeal to accomplishment,an assertion is deemed true or false based on the accomplishments of the proposer. This may often also have elements of appeal to emotion see below.
Courtier's reply,"a criticism is dismissed by claiming that the critic lacks sufficient knowledge, credentials, or training to credibly comment on the subject matter."
Appeal to fear,"generating distress, anxiety, cynicism, or prejudice towards the opponent in an argument.[78]"
Appeal to flattery,using excessive or insincere praise to obtain common agreement.[79]
Appeal to pity (argumentum ad misericordiam),generating feelings of sympathy or mercy in the listener to obtain common agreement.[80]
Appeal to ridicule,mocking or stating that the opponent's position is laughable to deflect from the merits of the opponent's argument.[81]
Appeal to spite,generating bitterness or hostility in the listener toward an opponent in an argument.[82]
Judgmental language,using insulting or pejorative language in an argument.
Pooh-pooh,stating that an opponent's argument is unworthy of consideration.[83]
Style over substance,"embellishing an argument with compelling language, exploiting a bias towards the esthetic qualities of an argument, e.g. the rhyme-as-reason effect[84]"
Wishful thinking,arguing for a course of action by the listener according to what might be pleasing to imagine rather than according to evidence or reason.[85]
Is,"ought fallacy[106] – deduce a conclusion about what ought to be, on the basis of what is."
Lists portal,
Philosophy portal,
Cognitive distortion,Exaggerated or irrational thought pattern
List of cognitive biases,
List of common misconceptions,
List of memory biases,
List of paradoxes,
Outline of public relations,Overview of and topical guide to public relations
Map,"territory relation – Relationship between an object and a representation of that object (confusing map with territory, menu with meal)"
Mathematical fallacy,Certain type of mistaken proof
Sophistical Refutations,"Text by Aristotle on logical fallacies, in which Aristotle presented thirteen fallacies"
Straight and Crooked Thinking,Book by Robert H. Thouless (book)
"Bunnin, Nicholas; Yu, Jiyuan, eds. (2004). The Blackwell Dictionary of Western Philosophy. Blackwell. ISBN 9781405106795.",
"Clark, Jef; Clark, Theo (2005). Humbug! The Skeptic's Field Guide to Spotting Fallacies in Thinking. Nifty Books. ISBN 0646444778. Archived from the original on 2016-11-21. Retrieved 2016-10-04. Also available as an ebook Archived 2016-03-06 at the Wayback Machine.",
"Copi, Irving M.; Cohen, Carl (1990). Introduction to Logic (8th ed.). Macmillan. ISBN 9780023250354.",
"Curtis, Gary N. ""Logical Fallacies","The Fallacy Files"". Archived from the original on 2015-10-01. Retrieved 2011-04-23."
"Damer, T. Edward (2009). Attacking Faulty Reasoning",A Practical Guide to Fallacy-free Arguments (6th ed.). Wadsworth. ISBN 9780495095064. Archived from the original on 16 November 2016. Retrieved 30 November 2010.
"Dowden, Bradley (December 31, 2010). ""Fallacy"". The Internet Encyclopedia of Philosophy. ISSN 2161-0002. Archived from the original on 2008-09-13. Retrieved 2011-04-22.",
"Fischer, David Hackett (1970). Historians' Fallacies",Toward a Logic of Historical Thought. HarperCollins. ISBN 9780061315459.
"Flew, Antony (1984). A Dictionary of Philosophy (Revised 2nd ed.). Macmillan. ISBN 978-0312209230. Archived from the original on 2016-11-21. Retrieved 2016-10-04.",
"Gula, Robert J. (2002). Nonsense","Red Herrings, Straw Men and Sacred Cows: How We Abuse Logic in Our Everyday Language. Axios Press. ISBN 9780975366264. Archived from the original on 2016-11-21. Retrieved 2016-10-04."
"Hurley, Patrick J. (2007). A Concise Introduction to Logic (10th ed.). Cengage. ISBN 9780495503835. Archived from the original on 2016-11-21. Retrieved 2016-10-04.",
"Johnson, Ralph H.; Blair, J. Anthony (1994). Logical Self-Defense. Idea. ISBN 9781932716184. Archived from the original on 2016-11-21. Retrieved 2016-10-04.",
"Pirie, Madsen (2006). How to Win Every Argument",The Use and Abuse of Logic. Continuum International Publishing Group. ISBN 0826490069. Archived from the original on 2016-11-21. Retrieved 2016-10-04.
"Wilson, W. Kent (1999). ""Formal fallacy"". In Audi, Robert (ed.). The Cambridge Dictionary of Philosophy (2nd ed.). Cambridge University Press. pp. 316",317. ISBN 9780511074172.
"Walton, Douglas (1997). Appeal to Expert Opinion",Arguments from Authority. Pennsylvania State University. ISBN 0271016949. Archived from the original on 2016-11-21. Retrieved 2016-10-04.
"Walton, Douglas (2008). Informal Logic",A Pragmatic Approach (2nd ed.). Cambridge University Press. ISBN 9780511408786.
"DiCarlo, Christopher (2011). How to Become a Really Good Pain in the Ass",A Critical Thinker's Guide to Asking the Right Questions. Prometheus Books. ISBN 9781616143978.
"Engel, S. Morris (1994). Fallacies and Pitfalls of Language",The Language Trap. Dover Publications. ISBN 0486282740. Retrieved 30 November 2010.
"Hamblin, C. L. (2004). Fallacies. Methuen & Co. ISBN 0416145701.",
"Hughes, William; Lavery, Jonathan (2004). Critical Thinking",An Introduction to the Basic Skills (4th ed.). Broadview Press. ISBN 1551115735. Retrieved 30 November 2010.
"Paul, Richard; Elder, Linda (2006). Thinker's Guide to Fallacies",The Art of Mental Trickery. Foundation for Critical Thinking. ISBN 9780944583272. Archived from the original on 5 July 2014. Retrieved 30 November 2010.
"Sinnott-Armstrong, Walter; Fogelin, Robert (2010). Understanding Arguments",An Introduction to Informal Logic (8th ed.). Wadsworth Cengage Learning. ISBN 9780495603955. Retrieved 30 November 2010.
"Thouless, Robert H. (1953). Straight and Crooked Thinking (PDF). Pan Books. Retrieved 30 November 2010.",
"Tindale, Christopher W. (2007). Fallacies and Argument Appraisal. Critical Reasoning and Argumentation. Cambridge University Press. ISBN 9780521842082. Retrieved 30 November 2010.",
"Wilson, David Carl (2020). A Guide to Good Reasoning",Cultivating Intellectual Virtues (2nd ed.). University of Minnesota Libraries. ISBN 9781946135667. Creative Commons Attribution-Non-Commercial 4.0 International License
"Logical Fallacies, Literacy Education Online",
"Informal Fallacies, Texas State University page on informal fallacies",
Stephen's Guide to the Logical Fallacies (mirror),
Visualization,"Rhetological Fallacies, Information is Beautiful"
"Master List of Logical Fallacies, University of Texas at El Paso",
"Fallacies, Internet Encyclopedia of Philosophy",
Affirming a disjunct,
Affirming the consequent,
Denying the antecedent,
Argument from fallacy,
Masked man,
Mathematical fallacy,
Illicit conversion,
Proof by example,
Quantifier shift,
Affirmative conclusion from a negative premise,
Negative conclusion from affirmative premises,
Exclusive premises,
Four terms,
Illicit major,
Illicit minor,
Undistributed middle,
False equivalence,
False attribution,
Moral equivalence,
Quoting out of context,
Loki's Wager,
No true Scotsman,
"Reification
Map",territory relation
Map,territory relation
Circular reasoning / Begging the question,
"Loaded language
Leading question",
Compound question / Loaded question / Complex question,
No true Scotsman,
Leading question,
"False dilemma
Perfect solution",
Denying the correlative,
Suppressed correlative,
Perfect solution,
Converse accident,
Anecdotal evidence,
"Sampling bias
Cherry picking
McNamara",
Base rate / Conjunction,
